minute,bullish_count,bearish_count,unlabeled_count,total_count,bullish_count_5m,bearish_count_5m,unlabeled_count_5m,message_count_5m,net_sentiment,bullish_share,sentiment_change,abnormal_density,labeled_message_count,labeled_fraction
2026-04-02 12:30:00-04:00,1,0,0,1,1.0,0.0,0.0,1.0,0.5,0.5,0.0,,1.0,0.9999990000010001
2026-04-02 12:31:00-04:00,0,0,0,0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,,1.0,0.9999990000010001
2026-04-02 12:32:00-04:00,0,1,1,2,1.0,1.0,1.0,3.0,0.0,0.3333333333333333,-0.5,,2.0,0.6666664444445185
2026-04-02 12:33:00-04:00,0,0,1,1,1.0,1.0,2.0,4.0,0.0,0.3333333333333333,0.0,,2.0,0.49999987500003124
2026-04-02 12:34:00-04:00,0,0,1,1,1.0,1.0,3.0,5.0,0.0,0.3333333333333333,0.0,,2.0,0.399999920000016
2026-04-02 12:35:00-04:00,0,0,0,0,0.0,1.0,3.0,4.0,-0.5,0.0,-0.5,3.9999960000040002,1.0,0.24999993750001562
2026-04-02 12:36:00-04:00,0,0,0,0,0.0,1.0,3.0,4.0,-0.5,0.0,0.0,4.799994240006912,1.0,0.24999993750001562
2026-04-02 12:37:00-04:00,0,0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,0.5,2.7999960800054877,0.0,0.0
2026-04-02 12:38:00-04:00,1,0,0,1,1.0,0.0,1.0,2.0,0.5,0.5,0.5,3.199994880008192,1.0,0.499999750000125
2026-04-02 12:39:00-04:00,1,0,0,1,2.0,0.0,0.0,2.0,0.6666666666666666,0.6666666666666666,0.16666666666666663,2.99999550000675,2.0,0.99999950000025
2026-04-02 12:40:00-04:00,0,0,0,0,2.0,0.0,0.0,2.0,0.6666666666666666,0.6666666666666666,0.0,2.857138775516035,2.0,0.99999950000025
2026-04-02 12:41:00-04:00,0,0,0,0,2.0,0.0,0.0,2.0,0.6666666666666666,0.6666666666666666,0.0,3.1428522040893934,2.0,0.99999950000025
2026-04-02 12:42:00-04:00,0,0,0,0,2.0,0.0,0.0,2.0,0.6666666666666666,0.6666666666666666,0.0,3.4285655510304838,2.0,0.99999950000025
2026-04-02 12:43:00-04:00,0,0,1,1,1.0,0.0,1.0,2.0,0.5,0.5,-0.16666666666666663,3.714278816339341,1.0,0.499999750000125
2026-04-02 12:44:00-04:00,1,0,2,3,1.0,0.0,3.0,4.0,0.5,0.5,0.0,6.999987750021438,1.0,0.24999993750001562
2026-04-02 12:45:00-04:00,0,0,2,2,1.0,0.0,5.0,6.0,0.5,0.5,0.0,8.181807024808602,1.0,0.16666663888889352
2026-04-02 12:46:00-04:00,0,0,1,1,1.0,0.0,6.0,7.0,0.5,0.5,0.0,8.61537401184737,1.0,0.1428571224489825
2026-04-02 12:47:00-04:00,2,0,0,2,3.0,0.0,6.0,9.0,0.75,0.75,0.25,10.92855815817938,3.0,0.33333329629630043
2026-04-02 12:48:00-04:00,0,0,0,0,3.0,0.0,5.0,8.0,0.75,0.75,0.0,8.99998987501139,3.0,0.3749999531250059
2026-04-02 12:49:00-04:00,0,0,1,1,2.0,0.0,4.0,6.0,0.6666666666666666,0.6666666666666666,-0.08333333333333337,7.124991539072547,2.0,0.33333327777778704
2026-04-02 12:50:00-04:00,1,0,1,2,3.0,0.0,3.0,6.0,0.75,0.75,0.08333333333333337,7.058815224923265,3.0,0.49999991666668053
2026-04-02 12:51:00-04:00,0,0,0,0,3.0,0.0,2.0,5.0,0.75,0.75,0.0,5.526309681447194,3.0,0.599999880000024
2026-04-02 12:52:00-04:00,0,0,1,1,1.0,0.0,3.0,4.0,0.5,0.5,-0.25,4.6315735844937445,1.0,0.24999993750001562
2026-04-02 12:53:00-04:00,1,0,0,1,2.0,0.0,3.0,5.0,0.6666666666666666,0.6666666666666666,0.16666666666666663,5.749993387507605,2.0,0.399999920000016
2026-04-02 12:54:00-04:00,0,0,0,0,2.0,0.0,2.0,4.0,0.6666666666666666,0.6666666666666666,0.0,4.571423346944746,2.0,0.49999987500003124
2026-04-02 12:55:00-04:00,0,0,0,0,1.0,0.0,1.0,2.0,0.5,0.5,-0.16666666666666663,2.380949546488635,1.0,0.499999750000125
2026-04-02 12:56:00-04:00,0,0,0,0,1.0,0.0,1.0,2.0,0.5,0.5,0.0,2.4761874104346346,1.0,0.499999750000125
2026-04-02 12:57:00-04:00,1,0,0,1,2.0,0.0,0.0,2.0,0.6666666666666666,0.6666666666666666,0.16666666666666663,2.571425265310373,2.0,0.99999950000025
2026-04-02 12:58:00-04:00,0,0,1,1,1.0,0.0,1.0,2.0,0.5,0.5,-0.16666666666666663,2.545451305789247,1.0,0.499999750000125
2026-04-02 12:59:00-04:00,0,0,0,0,1.0,0.0,1.0,2.0,0.5,0.5,0.0,2.5217359508546706,1.0,0.499999750000125
2026-04-02 13:00:00-04:00,0,0,1,1,1.0,0.0,2.0,3.0,0.5,0.5,0.0,3.913038374297772,1.0,0.33333322222225925
2026-04-02 13:01:00-04:00,1,0,0,1,2.0,0.0,2.0,4.0,0.6666666666666666,0.6666666666666666,0.16666666666666663,5.166659993064176,2.0,0.49999987500003124
2026-04-02 13:02:00-04:00,1,0,0,1,2.0,0.0,2.0,4.0,0.6666666666666666,0.6666666666666666,0.0,5.1199934464083885,2.0,0.49999987500003124
2026-04-02 13:03:00-04:00,0,0,2,2,2.0,0.0,3.0,5.0,0.6666666666666666,0.6666666666666666,0.0,6.346145791430342,2.0,0.399999920000016
2026-04-02 13:04:00-04:00,1,0,0,1,3.0,0.0,3.0,6.0,0.75,0.75,0.08333333333333337,7.285705438786253,3.0,0.49999991666668053
2026-04-02 13:05:00-04:00,0,0,1,1,3.0,0.0,3.0,6.0,0.75,0.75,0.0,7.241370570759655,3.0,0.49999991666668053
2026-04-02 13:06:00-04:00,0,0,0,0,2.0,0.0,3.0,5.0,0.6666666666666666,0.6666666666666666,-0.08333333333333337,5.9999928000086395,2.0,0.399999920000016
2026-04-02 13:07:00-04:00,0,0,1,1,1.0,0.0,4.0,5.0,0.5,0.5,-0.16666666666666663,6.166659061120491,1.0,0.199999960000008
2026-04-02 13:08:00-04:00,0,0,0,0,1.0,0.0,2.0,3.0,0.5,0.5,0.0,3.6774148470398647,1.0,0.33333322222225925
2026-04-02 13:09:00-04:00,1,0,0,1,1.0,0.0,2.0,3.0,0.5,0.5,0.0,3.77418880021409,1.0,0.33333322222225925
2026-04-02 13:10:00-04:00,1,0,2,3,2.0,0.0,3.0,5.0,0.6666666666666666,0.6666666666666666,0.16666666666666663,6.249992187509765,2.0,0.399999920000016
2026-04-02 13:11:00-04:00,0,0,0,0,2.0,0.0,3.0,5.0,0.6666666666666666,0.6666666666666666,0.0,5.857135995926405,2.0,0.399999920000016
2026-04-02 13:12:00-04:00,1,0,1,2,3.0,0.0,3.0,6.0,0.75,0.75,0.08333333333333337,7.199991360010367,3.0,0.49999991666668053
2026-04-02 13:13:00-04:00,1,0,0,1,4.0,0.0,3.0,7.0,0.8,0.8,0.050000000000000044,8.135125680799884,4.0,0.57142848979593
2026-04-02 13:14:00-04:00,0,0,1,1,3.0,0.0,4.0,7.0,0.75,0.75,-0.050000000000000044,8.105253772864051,3.0,0.4285713673469475
2026-04-02 13:15:00-04:00,0,0,1,1,2.0,0.0,3.0,5.0,0.6666666666666666,0.6666666666666666,-0.08333333333333337,5.769224112433716,2.0,0.399999920000016
2026-04-02 13:16:00-04:00,0,0,0,0,2.0,0.0,3.0,5.0,0.6666666666666666,0.6666666666666666,0.0,5.749993387507605,2.0,0.399999920000016
2026-04-02 13:17:00-04:00,0,0,1,1,1.0,0.0,3.0,4.0,0.5,0.5,-0.16666666666666663,4.699994477506489,1.0,0.24999993750001562
2026-04-02 13:18:00-04:00,0,0,0,0,0.0,0.0,3.0,3.0,0.0,0.0,-0.5,3.5121910101178417,0.0,0.0
2026-04-02 13:19:00-04:00,0,0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.3902410458094816,0.0,0.0
2026-04-02 13:20:00-04:00,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.2195107079137708,0.0,0.0
2026-04-02 13:21:00-04:00,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.243900891733037,0.0,0.0
2026-04-02 13:22:00-04:00,0,0,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.2682910743625397,0.0,0.0
2026-04-02 13:23:00-04:00,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.261903169503143,0.0,0.0
2026-04-02 13:24:00-04:00,0,0,1,1,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.571425265310373,0.0,0.0
2026-04-02 13:25:00-04:00,0,0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.558136262848966,0.0,0.0
2026-04-02 13:26:00-04:00,0,0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.604647770691275,0.0,0.0
2026-04-02 13:27:00-04:00,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.3255796381851308,0.0,0.0
2026-04-02 13:28:00-04:00,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.3488353899429624,0.0,0.0
2026-04-02 13:29:00-04:00,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-02 13:30:00-04:00,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-02 13:31:00-04:00,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-02 13:32:00-04:00,0,0,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.4285693877580175,0.0,0.0
2026-04-02 13:33:00-04:00,0,0,2,2,0.0,0.0,3.0,3.0,0.0,0.0,0.0,4.390237477701252,0.0,0.0
2026-04-02 13:34:00-04:00,1,0,0,1,1.0,0.0,3.0,4.0,0.5,0.5,0.5,5.71427755103207,1.0,0.24999993750001562
2026-04-02 13:35:00-04:00,0,0,1,1,1.0,0.0,4.0,5.0,0.5,0.5,0.0,7.142846938790088,1.0,0.199999960000008
2026-04-02 13:36:00-04:00,0,0,1,1,1.0,0.0,5.0,6.0,0.5,0.5,0.0,8.372081341281849,1.0,0.16666663888889352
2026-04-02 13:37:00-04:00,0,0,0,0,1.0,0.0,4.0,5.0,0.5,0.5,0.0,6.818172520673835,1.0,0.199999960000008
2026-04-02 13:38:00-04:00,0,0,0,0,1.0,0.0,2.0,3.0,0.5,0.5,0.0,4.090903512404301,1.0,0.33333322222225925
2026-04-02 13:39:00-04:00,0,0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,-0.5,2.790693780427283,0.0,0.0
2026-04-02 13:40:00-04:00,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.4285693877580175,0.0,0.0
2026-04-02 13:41:00-04:00,0,0,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.4285693877580175,0.0,0.0
2026-04-02 13:42:00-04:00,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.3953468902136414,0.0,0.0
2026-04-02 13:43:00-04:00,0,0,1,1,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.790693780427283,0.0,0.0
2026-04-02 13:44:00-04:00,0,0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.790693780427283,0.0,0.0
2026-04-02 13:45:00-04:00,1,0,0,1,1.0,0.0,2.0,3.0,0.5,0.5,0.5,4.499993250010125,1.0,0.33333322222225925
2026-04-02 13:46:00-04:00,1,0,0,1,2.0,0.0,1.0,3.0,0.6666666666666666,0.6666666666666666,0.16666666666666663,4.615377514803823,2.0,0.6666664444445185
2026-04-02 13:47:00-04:00,0,1,0,1,2.0,1.0,1.0,4.0,0.25,0.5,-0.41666666666666663,6.153836686405097,3.0,0.7499998125000469
2026-04-02 13:48:00-04:00,1,0,0,1,3.0,1.0,0.0,4.0,0.4,0.6,0.15000000000000002,6.315779501400788,4.0,0.9999997500000625
2026-04-02 13:49:00-04:00,1,0,0,1,4.0,1.0,0.0,5.0,0.5,0.6666666666666666,0.09999999999999998,7.692295858006371,5.0,0.99999980000004
2026-04-02 13:50:00-04:00,0,0,0,0,3.0,1.0,0.0,4.0,0.4,0.6,-0.09999999999999998,6.153836686405097,4.0,0.9999997500000625
2026-04-02 13:51:00-04:00,0,0,1,1,2.0,1.0,1.0,4.0,0.25,0.5,-0.15000000000000002,6.4864759678768085,3.0,0.7499998125000469
2026-04-02 13:52:00-04:00,0,0,0,0,2.0,0.0,1.0,3.0,0.6666666666666666,0.6666666666666666,0.41666666666666663,4.73683462605059,2.0,0.6666664444445185
2026-04-02 13:53:00-04:00,0,0,1,1,1.0,0.0,2.0,3.0,0.5,0.5,-0.16666666666666663,4.864856975907606,1.0,0.33333322222225925
