minute,bullish_count,bearish_count,unlabeled_count,total_count,bullish_count_5m,bearish_count_5m,unlabeled_count_5m,message_count_5m,net_sentiment,bullish_share,sentiment_change,abnormal_density,labeled_message_count,labeled_fraction
2026-04-14 13:33:00-04:00,6,0,3,9,6.0,0.0,3.0,9.0,0.8571428571428571,0.8571428571428571,0.0,,6.0,0.6666665925926009
2026-04-14 13:34:00-04:00,2,0,6,8,8.0,0.0,9.0,17.0,0.8888888888888888,0.8888888888888888,0.031746031746031744,,8.0,0.47058820761245834
2026-04-14 13:35:00-04:00,7,1,12,20,15.0,1.0,21.0,37.0,0.8235294117647058,0.8823529411764706,-0.065359477124183,,16.0,0.4324324207450697
2026-04-14 13:36:00-04:00,2,0,3,5,17.0,1.0,24.0,42.0,0.8421052631578947,0.8947368421052632,0.018575851393188847,,18.0,0.4285714183673472
2026-04-14 13:37:00-04:00,4,0,3,7,21.0,1.0,27.0,49.0,0.8695652173913043,0.9130434782608695,0.027459954233409634,,22.0,0.4489795826738861
2026-04-14 13:38:00-04:00,1,0,3,4,16.0,1.0,27.0,44.0,0.8333333333333334,0.8888888888888888,-0.03623188405797095,4.489795460224953,17.0,0.38636362758264486
2026-04-14 13:39:00-04:00,6,0,3,9,20.0,1.0,24.0,45.0,0.8636363636363636,0.9090909090909091,0.030303030303030276,5.094339045923881,21.0,0.46666665629629656
2026-04-14 13:40:00-04:00,3,0,5,8,16.0,0.0,17.0,33.0,0.9411764705882353,0.9411764705882353,0.07754010695187163,3.7258060309573837,16.0,0.484848470156107
2026-04-14 13:41:00-04:00,5,0,0,5,19.0,0.0,14.0,33.0,0.95,0.95,0.008823529411764675,3.771428140408213,19.0,0.5757575583103771
2026-04-14 13:42:00-04:00,9,0,3,12,24.0,0.0,14.0,38.0,0.96,0.96,0.010000000000000009,4.559999452800065,24.0,0.6315789307479229
2026-04-14 13:43:00-04:00,7,0,3,10,30.0,0.0,14.0,44.0,0.967741935483871,0.967741935483871,0.007741935483871032,5.057470683049347,30.0,0.6818181663223144
2026-04-14 13:44:00-04:00,7,0,2,9,31.0,0.0,13.0,44.0,0.96875,0.96875,0.0010080645161290036,4.989690155808333,31.0,0.7045454385330583
2026-04-14 13:45:00-04:00,5,0,4,9,33.0,0.0,12.0,45.0,0.9705882352941176,0.9705882352941176,0.0018382352941176405,5.094339045923881,33.0,0.7333333170370374
2026-04-14 13:46:00-04:00,3,0,2,5,31.0,0.0,14.0,45.0,0.96875,0.96875,-0.0018382352941176405,5.086955946691937,31.0,0.6888888735802473
2026-04-14 13:47:00-04:00,4,0,3,7,26.0,0.0,14.0,40.0,0.9629629629629629,0.9629629629629629,-0.0057870370370370905,4.666666122222287,26.0,0.6499999837500005
2026-04-14 13:48:00-04:00,5,0,4,9,24.0,0.0,15.0,39.0,0.96,0.96,-0.002962962962962945,4.606298668547402,24.0,0.6153845996055232
2026-04-14 13:49:00-04:00,3,0,2,5,20.0,0.0,15.0,35.0,0.9523809523809523,0.9523809523809523,-0.007619047619047636,4.117646574394521,20.0,0.5714285551020413
2026-04-14 13:50:00-04:00,3,0,3,6,18.0,0.0,14.0,32.0,0.9473684210526315,0.9473684210526315,-0.005012531328320802,3.858155563201102,18.0,0.5624999824218756
2026-04-14 13:51:00-04:00,4,0,3,7,19.0,0.0,15.0,34.0,0.95,0.95,0.0026315789473684292,4.163264796334923,19.0,0.558823512975779
2026-04-14 13:52:00-04:00,2,0,3,5,17.0,0.0,15.0,32.0,0.9444444444444444,0.9444444444444444,-0.005555555555555536,3.9480514609546904,17.0,0.5312499833984381
2026-04-14 13:53:00-04:00,3,0,0,3,15.0,0.0,11.0,26.0,0.9375,0.9375,-0.00694444444444442,3.2704398401962465,15.0,0.5769230547337286
2026-04-14 13:54:00-04:00,6,0,2,8,18.0,0.0,11.0,29.0,0.9473684210526315,0.9473684210526315,0.009868421052631526,3.7592587719479367,18.0,0.620689633769323
2026-04-14 13:55:00-04:00,1,0,3,4,16.0,0.0,11.0,27.0,0.9411764705882353,0.9411764705882353,-0.006191950464396245,3.494117194878951,16.0,0.5925925706447196
2026-04-14 13:56:00-04:00,4,0,0,4,16.0,0.0,8.0,24.0,0.9411764705882353,0.9411764705882353,0.0,3.1724133737614504,16.0,0.66666663888889
2026-04-14 13:57:00-04:00,9,0,8,17,23.0,0.0,13.0,36.0,0.9583333333333334,0.9583333333333334,0.01715686274509809,4.85393192980693,23.0,0.6388888711419759
2026-04-14 13:58:00-04:00,12,0,9,21,32.0,0.0,22.0,54.0,0.9696969696969697,0.9696969696969697,0.011363636363636354,6.9230760355030725,32.0,0.5925925816186559
2026-04-14 13:59:00-04:00,4,0,1,5,30.0,0.0,21.0,51.0,0.967741935483871,0.967741935483871,-0.0019550342130987275,6.138888149948649,30.0,0.5882352825836219
2026-04-14 14:00:00-04:00,5,0,6,11,34.0,0.0,24.0,58.0,0.9714285714285714,0.9714285714285714,0.0036866359447004227,7.085971984971749,34.0,0.5862068864447089
2026-04-14 14:01:00-04:00,7,0,6,13,37.0,0.0,30.0,67.0,0.9736842105263158,0.9736842105263158,0.0022556390977443996,8.08620592063032,37.0,0.5522387977277792
2026-04-14 14:02:00-04:00,3,0,11,14,31.0,0.0,33.0,64.0,0.96875,0.96875,-0.004934210526315819,7.575509307388694,31.0,0.4843749924316408
2026-04-14 14:03:00-04:00,8,1,11,20,27.0,1.0,35.0,63.0,0.896551724137931,0.9310344827586207,-0.07219827586206895,7.297296452050605,28.0,0.44444443738977085
2026-04-14 14:04:00-04:00,6,0,2,8,29.0,1.0,36.0,66.0,0.9032258064516129,0.9354838709677419,0.006674082313681828,7.33333251851861,30.0,0.4545454476584023
2026-04-14 14:05:00-04:00,5,0,5,10,29.0,1.0,35.0,65.0,0.9032258064516129,0.9354838709677419,0.0,7.247385951510974,30.0,0.46153845443786995
2026-04-14 14:06:00-04:00,2,0,3,5,24.0,1.0,32.0,57.0,0.8846153846153846,0.9230769230769231,-0.018610421836228297,6.333332629629709,25.0,0.43859648353339503
2026-04-14 14:07:00-04:00,1,0,6,7,22.0,1.0,27.0,50.0,0.875,0.9166666666666666,-0.009615384615384581,5.629138439103619,23.0,0.4599999908000002
2026-04-14 14:08:00-04:00,2,0,3,5,16.0,0.0,19.0,35.0,0.9411764705882353,0.9411764705882353,0.06617647058823528,3.964400845456215,16.0,0.4571428440816331
2026-04-14 14:09:00-04:00,3,0,6,9,13.0,0.0,23.0,36.0,0.9285714285714286,0.9285714285714286,-0.012605042016806678,4.127388061828121,13.0,0.36111110108024724
2026-04-14 14:10:00-04:00,2,0,4,6,10.0,0.0,22.0,32.0,0.9090909090909091,0.9090909090909091,-0.019480519480519543,3.6656342550202248,10.0,0.3124999902343753
2026-04-14 14:11:00-04:00,4,0,7,11,12.0,0.0,26.0,38.0,0.9230769230769231,0.9230769230769231,0.013986013986014068,4.389057243817097,12.0,0.31578946537396146
2026-04-14 14:12:00-04:00,5,0,3,8,16.0,0.0,23.0,39.0,0.9411764705882353,0.9411764705882353,0.018099547511312153,4.473528898624627,16.0,0.41025639973701544
2026-04-14 14:13:00-04:00,2,0,7,9,16.0,0.0,27.0,43.0,0.9411764705882353,0.9411764705882353,0.0,4.942528167525499,16.0,0.37209301460248806
2026-04-14 14:14:00-04:00,9,0,15,24,22.0,0.0,36.0,58.0,0.9565217391304348,0.9565217391304348,0.01534526854219953,6.661063660774202,22.0,0.3793103382877528
2026-04-14 14:15:00-04:00,8,0,7,15,28.0,0.0,39.0,67.0,0.9655172413793104,0.9655172413793104,0.008995502248875575,7.385825957468006,28.0,0.41791044152372475
2026-04-14 14:16:00-04:00,2,0,1,3,26.0,0.0,33.0,59.0,0.9629629629629629,0.9629629629629629,-0.0025542784163474774,6.4065649609032995,26.0,0.44067795863257697
2026-04-14 14:17:00-04:00,2,0,4,6,23.0,0.0,34.0,57.0,0.9583333333333334,0.9583333333333334,-0.004629629629629539,6.285713592552887,23.0,0.40350876485072346
2026-04-14 14:18:00-04:00,5,0,3,8,26.0,0.0,30.0,56.0,0.9629629629629629,0.9629629629629629,0.004629629629629539,6.2222215308642745,26.0,0.4642857059948981
2026-04-14 14:19:00-04:00,4,0,5,9,21.0,0.0,20.0,41.0,0.9545454545454546,0.9545454545454546,-0.008417508417508324,4.566585447789515,21.0,0.5121951094586559
2026-04-14 14:20:00-04:00,10,0,11,21,23.0,0.0,24.0,47.0,0.9583333333333334,0.9583333333333334,0.0037878787878787845,5.234596573398012,23.0,0.4893616917157087
2026-04-14 14:21:00-04:00,5,0,5,10,26.0,0.0,28.0,54.0,0.9629629629629629,0.9629629629629629,0.004629629629629539,5.851015167384362,26.0,0.48148147256515794
2026-04-14 14:22:00-04:00,1,0,7,8,25.0,0.0,31.0,56.0,0.9615384615384616,0.9615384615384616,-0.0014245014245013454,6.057394488273003,25.0,0.44642856345663284
2026-04-14 14:23:00-04:00,8,0,6,14,28.0,0.0,34.0,62.0,0.9655172413793104,0.9655172413793104,0.003978779840848823,6.724511201246074,28.0,0.4516128959417275
2026-04-14 14:24:00-04:00,5,0,9,14,29.0,0.0,38.0,67.0,0.9666666666666667,0.9666666666666667,0.0011494252873562871,7.193683438151884,29.0,0.43283581443528635
2026-04-14 14:25:00-04:00,1,0,7,8,20.0,0.0,34.0,54.0,0.9523809523809523,0.9523809523809523,-0.014285714285714346,5.742330677707168,20.0,0.37037036351166
2026-04-14 14:26:00-04:00,5,0,6,11,20.0,0.0,35.0,55.0,0.9523809523809523,0.9523809523809523,0.0,5.865190521418315,20.0,0.3636363570247935
2026-04-14 14:27:00-04:00,3,0,5,8,22.0,0.0,33.0,55.0,0.9565217391304348,0.9565217391304348,0.0041407867494824835,5.84645607143971,22.0,0.3999999927272729
2026-04-14 14:28:00-04:00,2,0,8,10,16.0,0.0,35.0,51.0,0.9411764705882353,0.9411764705882353,-0.01534526854219953,5.436045932204407,16.0,0.3137254840445984
