minute,bullish_count,bearish_count,unlabeled_count,total_count,bullish_count_5m,bearish_count_5m,unlabeled_count_5m,message_count_5m,net_sentiment,bullish_share,sentiment_change,abnormal_density,labeled_message_count,labeled_fraction,open,high,low,close,volume,one_min_return,log_return_1m,trailing_volatility,dollar_volume,volume_zscore_30m,future_close,forward_return,log_forward_return,direction_5m,direction_3class_5m
2026-04-14 13:33:00-04:00,6,0,3,9,6.0,0.0,3.0,9.0,0.8571428571428571,0.8571428571428571,0.0,,6.0,0.6666665925926009,1.6299999952316284,1.7798999547958374,1.5499999523162842,1.669800043106079,8608868,0.08428576913525898,0.08092149293810182,0.03570632302103265,14375088.157494545,4.0111993278026725,1.6299999952316284,-0.023835217898555472,-0.024123872699588152,0,-1
2026-04-14 13:34:00-04:00,2,0,6,8,8.0,0.0,9.0,17.0,0.8888888888888888,0.8888888888888888,0.0317460317460317,,8.0,0.4705882076124583,1.659999966621399,1.690000057220459,1.5099999904632568,1.5099999904632568,2308342,-0.09570011289829061,-0.10059424008176879,0.04025878678823218,3485596.397985935,0.5188093349764048,1.649999976158142,0.0927152229000574,0.08866562895176938,1,1
2026-04-14 13:39:00-04:00,6,0,3,9,20.0,1.0,24.0,45.0,0.8636363636363636,0.9090909090909092,0.0303030303030302,5.094339045923881,21.0,0.4666666562962965,1.5099999904632568,1.600000023841858,1.4700000286102295,1.5700000524520874,1605317,0.039735140640910105,0.03896600825807992,0.04073439960165584,2520347.7742022276,0.11149886394319224,1.6102999448776245,0.02566872043258539,0.025344810041501804,1,1
2026-04-14 13:40:00-04:00,3,0,5,8,16.0,0.0,17.0,33.0,0.9411764705882352,0.9411764705882352,0.0775401069518716,3.725806030957384,16.0,0.484848470156107,1.5700000524520874,1.590000033378601,1.5099999904632568,1.5699000358581543,2040451,-6.3704834771805e-05,-6.370686401097366e-05,0.040661402243246096,3203304.098066807,0.32075409211469463,1.6753000020980835,0.0671380112315969,0.06498030906453436,1,1
2026-04-14 13:41:00-04:00,5,0,0,5,19.0,0.0,14.0,33.0,0.95,0.95,0.0088235294117646,3.771428140408213,19.0,0.5757575583103771,1.565000057220459,1.6799999475479126,1.5499999523162842,1.6150000095367432,3187549,0.028727927032587086,0.02832301667454592,0.04042256586136907,5147891.665398836,0.9031638240602626,1.6159000396728516,0.0005572941986338176,0.0005571389678920191,1,1
2026-04-14 13:42:00-04:00,9,0,3,12,24.0,0.0,14.0,38.0,0.96,0.96,0.01,4.559999452800065,24.0,0.6315789307479229,1.6150000095367432,1.6399999856948853,1.590000033378601,1.6299999952316284,1303490,0.00928791678409202,0.00924504931356555,0.040320148670954764,2124688.6937844753,-0.13592100199771134,1.6309000253677368,0.0005521657292890669,0.0005520133418855871,1,1
2026-04-14 13:43:00-04:00,7,0,3,10,30.0,0.0,14.0,44.0,0.967741935483871,0.967741935483871,0.007741935483871,5.057470683049347,30.0,0.6818181663223144,1.6287000179290771,1.659999966621399,1.6100000143051147,1.649999976158142,1688408,0.01226992698467555,0.012195261569588601,0.040272250947874795,2785873.1597452164,0.05468335064986004,1.6402000188827515,-0.005939368131512857,-0.005957076330235694,0,-1
2026-04-14 13:44:00-04:00,7,0,2,9,31.0,0.0,13.0,44.0,0.96875,0.96875,0.001008064516129,4.989690155808333,31.0,0.7045454385330583,1.649999976158142,1.7100000381469727,1.5700000524520874,1.6102999448776245,3015236,-0.02406062536616216,-0.024354810652187416,0.04052887650227503,4855434.364593029,0.7350370288612268,1.655900001525879,0.02831774092355177,0.027924205777090684,1,1
2026-04-14 13:45:00-04:00,5,0,4,9,33.0,0.0,12.0,45.0,0.9705882352941176,0.9705882352941176,0.0018382352941176,5.094339045923881,33.0,0.7333333170370374,1.6100000143051147,1.6799999475479126,1.6100000143051147,1.6753000020980835,1646805,0.04036518626683461,0.03957179215902153,0.0408938292089321,2758892.4199551344,-0.035869319275826116,1.6198999881744385,-0.03306871238241749,-0.03362784332593722,0,-1
2026-04-14 13:46:00-04:00,3,0,2,5,31.0,0.0,14.0,45.0,0.96875,0.96875,-0.0018382352941176,5.086955946691937,31.0,0.6888888735802473,1.6749999523162842,1.6749999523162842,1.6100000143051147,1.6159000396728516,1265039,-0.03545631370551039,-0.03610015342209644,0.041587120255167614,2044176.5702877045,-0.2689377171442714,1.6200000047683716,0.0025372640601890595,0.002534050640115942,1,1
2026-04-14 13:47:00-04:00,4,0,3,7,26.0,0.0,14.0,40.0,0.9629629629629628,0.9629629629629628,-0.005787037037037,4.666666122222287,26.0,0.6499999837500005,1.6200000047683716,1.649999976158142,1.6200000047683716,1.6309000253677368,657932,0.009282743564956064,0.0092399236875594,0.04139449994532934,1073021.3154902458,-0.6152051719053011,1.600100040435791,-0.018885268534471367,-0.019065872671693778,0,-1
2026-04-14 13:48:00-04:00,5,0,4,9,24.0,0.0,15.0,39.0,0.96,0.96,-0.0029629629629629,4.606298668547402,24.0,0.6153845996055232,1.6399999856948853,1.659999966621399,1.6200000047683716,1.6402000188827515,1166576,0.005702368857905649,0.005686171897467215,0.04136608942347576,1913417.9772281647,-0.3500705563024032,1.6098999977111816,-0.01847336960293977,-0.01864613328824565,0,-1
